model,fold,subject_id,stratum_type,stratum,target,metric,value,seed_sd,n_windows,source
RAW,3,User07,overall,all,humidity,rmse,12.294490000368206,0.36466512567285086,140971,p3_frozen
RAW,3,User07,overall,all,humidity,bias,3.0947903500613134,1.8206469385190327,140971,p3_frozen
MOVEMENT,1,User01,overall,all,temperature,mae,2.749070033165026,0.13784733749907863,289437,p4
MOVEMENT,1,User01,overall,all,temperature,rmse,3.2358119350247407,0.1533913688691024,289437,p4
MOVEMENT,1,User01,overall,all,temperature,bias,2.466718226934032,0.16163711293833796,289437,p4
MOVEMENT,1,User01,overall,all,humidity,mae,22.432556768010727,0.7428390477522625,289437,p4
MOVEMENT,1,User01,overall,all,humidity,rmse,24.61853752838029,0.8732486225392303,289437,p4
MOVEMENT,1,User01,overall,all,humidity,bias,21.83388907668004,0.8368111867375321,289437,p4
MOVEMENT,1,User01,sensor_phase,s1,temperature,mae,2.366670798192829,0.18642225013701724,151883,p4
MOVEMENT,1,User01,sensor_phase,s1,temperature,rmse,2.8466185849222114,0.22214770281046722,151883,p4
MOVEMENT,1,User01,sensor_phase,s1,temperature,bias,2.0103202483058005,0.20738431810406865,151883,p4
MOVEMENT,1,User01,sensor_phase,s1,humidity,mae,24.79393675570107,0.9801021149565712,151883,p4
MOVEMENT,1,User01,sensor_phase,s1,humidity,rmse,26.728517390405074,1.1453450353158021,151883,p4
MOVEMENT,1,User01,sensor_phase,s1,humidity,bias,23.740166983443633,1.1612552321496363,151883,p4
MOVEMENT,1,User01,sensor_phase,s2,temperature,mae,3.171303795943878,0.10538255062814733,137554,p4
MOVEMENT,1,User01,sensor_phase,s2,temperature,rmse,3.615608110697014,0.11206858581849242,137554,p4
MOVEMENT,1,User01,sensor_phase,s2,temperature,bias,2.970659182398735,0.12718900078783432,137554,p4
MOVEMENT,1,User01,sensor_phase,s2,humidity,mae,19.825191830092727,0.5315309407220236,137554,p4
MOVEMENT,1,User01,sensor_phase,s2,humidity,rmse,22.05310271408864,0.5611877368389303,137554,p4
MOVEMENT,1,User01,sensor_phase,s2,humidity,bias,19.7290342028634,0.5398858674554313,137554,p4
MOVEMENT,2,User02,overall,all,temperature,mae,4.73429524650023,0.06889230602117045,143999,p4
MOVEMENT,2,User02,overall,all,temperature,rmse,5.117041621019181,0.06419486597004381,143999,p4
MOVEMENT,2,User02,overall,all,temperature,bias,-4.734201371285028,0.06893494030024573,143999,p4
MOVEMENT,2,User02,overall,all,humidity,mae,26.672913470564936,0.07897116529265978,143999,p4
MOVEMENT,2,User02,overall,all,humidity,rmse,30.21722143780087,0.07502452785852988,143999,p4
MOVEMENT,2,User02,overall,all,humidity,bias,-26.493132243283537,0.08376517397510312,143999,p4
MOVEMENT,2,User02,device,22480,temperature,mae,3.388709213299334,0.06020459953588512,57491,p4
MOVEMENT,2,User02,device,22480,temperature,rmse,3.47286528826292,0.057727002245970174,57491,p4
MOVEMENT,2,User02,device,22480,temperature,bias,-3.388709213299334,0.06020459953588512,57491,p4
MOVEMENT,2,User02,device,22480,humidity,mae,19.18171031919973,0.07408889629776037,57491,p4
MOVEMENT,2,User02,device,22480,humidity,rmse,20.448480309193123,0.07165551844964042,57491,p4
MOVEMENT,2,User02,device,22480,humidity,bias,-19.093633504568476,0.07583483162903694,57491,p4
MOVEMENT,2,User02,device,22482,temperature,mae,5.628537243017924,0.07468027454457345,86508,p4
MOVEMENT,2,User02,device,22482,temperature,rmse,5.964059286572815,0.0693482785630177,86508,p4
MOVEMENT,2,User02,device,22482,temperature,bias,-5.628380980740286,0.07475111522401875,86508,p4
MOVEMENT,2,User02,device,22482,humidity,mae,31.651375120067147,0.08633084879785552,86508,p4
MOVEMENT,2,User02,device,22482,humidity,rmse,35.242083549766754,0.08228224907825478,86508,p4
MOVEMENT,2,User02,device,22482,humidity,bias,-31.410649490098482,0.09329582912254487,86508,p4
MOVEMENT,2,User02,channel_quality_phase,normal,temperature,mae,4.432116296660073,0.06766707849988403,107837,p4
MOVEMENT,2,User02,channel_quality_phase,normal,temperature,rmse,4.8559833090452615,0.06250118308571524,107837,p4
MOVEMENT,2,User02,channel_quality_phase,normal,temperature,bias,-4.431990941382072,0.06772410505645507,107837,p4
MOVEMENT,2,User02,channel_quality_phase,normal,humidity,mae,26.075184439649803,0.0779435779112438,107837,p4
MOVEMENT,2,User02,channel_quality_phase,normal,humidity,rmse,29.194733909028457,0.07258418111593934,107837,p4
MOVEMENT,2,User02,channel_quality_phase,normal,humidity,bias,-26.028228161656482,0.07879325329898941,107837,p4
MOVEMENT,2,User02,channel_quality_phase,p1_response_shift,temperature,mae,5.541447068801872,0.07231795899441569,33677,p4
MOVEMENT,2,User02,channel_quality_phase,p1_response_shift,temperature,rmse,5.723117366573788,0.06894027034180925,33677,p4
MOVEMENT,2,User02,channel_quality_phase,p1_response_shift,temperature,bias,-5.541447068801872,0.07231795899441569,33677,p4
MOVEMENT,2,User02,channel_quality_phase,p1_response_shift,humidity,mae,27.84542241211302,0.08313715118585087,33677,p4
MOVEMENT,2,User02,channel_quality_phase,p1_response_shift,humidity,rmse,32.729369841147054,0.0819466557471331,33677,p4
MOVEMENT,2,User02,channel_quality_phase,p1_response_shift,humidity,bias,-27.227056975841098,0.10105041618207668,33677,p4
MOVEMENT,2,User02,channel_quality_phase,p1_transition,temperature,mae,6.908790012802278,0.07642783579014016,2485,p4
MOVEMENT,2,User02,channel_quality_phase,p1_transition,temperature,rmse,7.080116862845718,0.07361930941967441,2485,p4
MOVEMENT,2,User02,channel_quality_phase,p1_transition,temperature,bias,-6.908790012802278,0.07642783579014016,2485,p4
MOVEMENT,2,User02,channel_quality_phase,p1_transition,humidity,mae,36.721493704883166,0.09085132179711396,2485,p4
MOVEMENT,2,User02,channel_quality_phase,p1_transition,humidity,rmse,37.49982679535969,0.08996009549534655,2485,p4
MOVEMENT,2,User02,channel_quality_phase,p1_transition,humidity,bias,-36.721493704883166,0.09085132179711396,2485,p4
MOVEMENT,2,User02,device_x_channel_quality_phase,22482/normal,temperature,mae,5.623601551287893,0.07619511352962287,50346,p4
MOVEMENT,2,User02,device_x_channel_quality_phase,22482/normal,temperature,rmse,6.060943850151889,0.06948475376726722,50346,p4
MOVEMENT,2,User02,device_x_channel_quality_phase,22482/normal,temperature,bias,-5.623333050570582,0.07631710464684188,50346,p4
MOVEMENT,2,User02,device_x_channel_quality_phase,22482/normal,humidity,mae,33.946966123572956,0.0882609962188937,50346,p4
MOVEMENT,2,User02,device_x_channel_quality_phase,22482/normal,humidity,rmse,36.71707194376142,0.0823428349880867,50346,p4
MOVEMENT,2,User02,device_x_channel_quality_phase,22482/normal,humidity,bias,-33.946966123572956,0.0882609962188937,50346,p4
MOVEMENT,2,User02,device_x_channel_quality_phase,22482/p1_response_shift,temperature,mae,5.541447068801872,0.07231795899441569,33677,p4
MOVEMENT,2,User02,device_x_channel_quality_phase,22482/p1_response_shift,temperature,rmse,5.723117366573788,0.06894027034180925,33677,p4
MOVEMENT,2,User02,device_x_channel_quality_phase,22482/p1_response_shift,temperature,bias,-5.541447068801872,0.07231795899441569,33677,p4
MOVEMENT,2,User02,device_x_channel_quality_phase,22482/p1_response_shift,humidity,mae,27.84542241211302,0.08313715118585087,33677,p4
MOVEMENT,2,User02,device_x_channel_quality_phase,22482/p1_response_shift,humidity,rmse,32.729369841147054,0.0819466557471331,33677,p4
MOVEMENT,2,User02,device_x_channel_quality_phase,22482/p1_response_shift,humidity,bias,-27.227056975841098,0.10105041618207668,33677,p4
MOVEMENT,2,User02,device_x_channel_quality_phase,22482/p1_transition,temperature,mae,6.908790012802278,0.07642783579014016,2485,p4
MOVEMENT,2,User02,device_x_channel_quality_phase,22482/p1_transition,temperature,rmse,7.080116862845718,0.07361930941967441,2485,p4
MOVEMENT,2,User02,device_x_channel_quality_phase,22482/p1_transition,temperature,bias,-6.908790012802278,0.07642783579014016,2485,p4
MOVEMENT,2,User02,device_x_channel_quality_phase,22482/p1_transition,humidity,mae,36.721493704883166,0.09085132179711396,2485,p4
MOVEMENT,2,User02,device_x_channel_quality_phase,22482/p1_transition,humidity,rmse,37.49982679535969,0.08996009549534655,2485,p4
MOVEMENT,2,User02,device_x_channel_quality_phase,22482/p1_transition,humidity,bias,-36.721493704883166,0.09085132179711396,2485,p4
MOVEMENT,3,User07,overall,all,temperature,mae,1.7718407046894267,0.10878598734626167,140971,p4
MOVEMENT,3,User07,overall,all,temperature,rmse,2.1287334049494877,0.14393286283250922,140971,p4
MOVEMENT,3,User07,overall,all,temperature,bias,0.7635090861289555,0.2642718880162461,140971,p4
MOVEMENT,3,User07,overall,all,humidity,mae,9.719269088293732,0.17194710935793733,140971,p4
MOVEMENT,3,User07,overall,all,humidity,rmse,12.006564128724401,0.2360342472562023,140971,p4
MOVEMENT,3,User07,overall,all,humidity,bias,-3.686913241721106,1.398256494213188,140971,p4
CONTACT,1,User01,overall,all,temperature,mae,2.937722453208059,0.1660849431483982,289437,p4
CONTACT,1,User01,overall,all,temperature,rmse,3.4780051457410206,0.18573240217028442,289437,p4
CONTACT,1,User01,overall,all,temperature,bias,1.6257865446907467,0.31750702482676707,289437,p4
CONTACT,1,User01,overall,all,humidity,mae,19.46025704692255,0.43382700183539274,289437,p4
CONTACT,1,User01,overall,all,humidity,rmse,22.328634040428863,0.35563262252257166,289437,p4
CONTACT,1,User01,overall,all,humidity,bias,18.03170122057085,0.5146357551830708,289437,p4
CONTACT,1,User01,sensor_phase,s1,temperature,mae,3.0489395682175435,0.2558495039203391,151883,p4
CONTACT,1,User01,sensor_phase,s1,temperature,rmse,3.596428439220684,0.26541571498603683,151883,p4
CONTACT,1,User01,sensor_phase,s1,temperature,bias,0.8115904482744533,0.5560366328991463,151883,p4
CONTACT,1,User01,sensor_phase,s1,humidity,mae,19.947132304323556,0.6290076359798432,151883,p4
CONTACT,1,User01,sensor_phase,s1,humidity,rmse,22.4840583499567,0.528762911264242,151883,p4
CONTACT,1,User01,sensor_phase,s1,humidity,bias,17.378014874944125,0.7542819774742363,151883,p4
CONTACT,1,User01,sensor_phase,s2,temperature,mae,2.8149198514735736,0.06722728213016343,137554,p4
CONTACT,1,User01,sensor_phase,s2,temperature,rmse,3.3410048988460113,0.09240286625880759,137554,p4
CONTACT,1,User01,sensor_phase,s2,temperature,bias,2.524797447405288,0.06123565373449452,137554,p4
CONTACT,1,User01,sensor_phase,s2,humidity,mae,18.922663994595194,0.2289700255907146,137554,p4
CONTACT,1,User01,sensor_phase,s2,humidity,rmse,22.153977597746774,0.2745633678214832,137554,p4
CONTACT,1,User01,sensor_phase,s2,humidity,bias,18.75348207196611,0.2529132056340396,137554,p4
CONTACT,2,User02,overall,all,temperature,mae,4.80720885039305,0.012597300164763924,143999,p4
CONTACT,2,User02,overall,all,temperature,rmse,5.2425859682291645,0.013347263966718138,143999,p4
CONTACT,2,User02,overall,all,temperature,bias,-4.807143427741787,0.012593345475408625,143999,p4
CONTACT,2,User02,overall,all,humidity,mae,24.550381092039483,0.1755053223984453,143999,p4
CONTACT,2,User02,overall,all,humidity,rmse,28.88130182473357,0.16925309537875802,143999,p4
CONTACT,2,User02,overall,all,humidity,bias,-24.14079927836052,0.174538814107639,143999,p4
CONTACT,2,User02,device,22480,temperature,mae,3.275807125644889,0.01729863998110254,57491,p4
CONTACT,2,User02,device,22480,temperature,rmse,3.385349336892244,0.017431806549585968,57491,p4
